File;Vrais positifs;Faux positifs;Faux négatif;Precision;Rappel;F-Mesure
corpus/bnw_page1.txt;0.0;0.0;6.0;NaN;0.0;NaN
corpus/bnw_page112.txt;3.0;2.0;5.0;0.6;0.375;0.46153846
corpus/Coraline.txt;4.0;2.0;5.0;0.6666667;0.44444445;0.5333333
corpus/Coraline2.txt;2.0;13.0;9.0;0.13333334;0.18181819;0.15384616
corpus/dadoes_page18.txt;7.0;6.0;6.0;0.53846157;0.53846157;0.53846157
corpus/dadoes_page213.txt;0.0;4.0;0.0;0.0;NaN;NaN
corpus/dadoes_page82.txt;3.0;14.0;11.0;0.1764706;0.21428572;0.1935484
corpus/Hp.txt;4.0;14.0;7.0;0.22222222;0.36363637;0.27586207
corpus/Hp2.txt;12.0;34.0;33.0;0.26086956;0.26666668;0.26373625
corpus/hyperion_page203.txt;10.0;1.0;5.0;0.90909094;0.6666667;0.7692308
corpus/hyperion_page378.txt;21.0;8.0;16.0;0.7241379;0.5675676;0.6363636
corpus/hyperion_page9.txt;18.0;0.0;10.0;1.0;0.64285713;0.78260875
corpus/ial_page1.txt;5.0;0.0;0.0;1.0;1.0;1.0
corpus/ial_page56.txt;7.0;0.0;2.0;1.0;0.7777778;0.875
corpus/ial_page96.txt;2.0;0.0;0.0;1.0;1.0;1.0
corpus/Oz.txt;9.0;1.0;15.0;0.9;0.375;0.52941173
corpus/Oz2.txt;1.0;0.0;10.0;1.0;0.09090909;0.16666667
